0.025	1083
0.035	229
0.045	36
0.055	4
0.065	6
0.075	7
0.085	12
0.095	6
0.105	18
0.115	20
0.125	23
0.135	27
0.145	38
0.155	47
0.165	66
0.175	76
0.185	78
0.195	93
0.205	97
0.215	91
0.225	70
0.235	70
0.245	80
0.255	62
0.265	52
0.275	71
0.285	73
0.295	62
0.305	63
0.315	66
0.325	85
0.335	89
0.345	88
0.355	84
0.365	89
0.375	90
0.385	104
0.395	111
0.405	87
0.415	104
0.425	87
0.435	84
0.445	95
0.455	102
0.465	100
0.475	80
0.485	86
0.495	74
0.505	63
0.515	68
0.525	55
0.535	49
0.545	46
0.555	32
0.565	43
0.575	41
0.585	40
0.595	40
0.605	37
0.615	30
0.625	37
0.635	22
0.645	22
0.655	33
0.665	22
0.675	19
0.685	13
0.695	20
0.705	16
0.715	13
0.725	9
0.735	21
0.745	9
0.755	10
0.765	14
0.775	11
0.785	10
0.795	11
0.805	11
0.815	8
0.825	15
0.835	9
0.845	8
0.855	8
0.865	4
0.875	7
0.885	7
0.895	4
0.905	4
0.915	5
0.925	3
0.935	2
0.945	6
0.955	5
0.965	7
